file,status,error,chips
data/canonical/jenny-huda/01-Intelligence-GamePlan/02-Assessment-to-GamePlan-Translation.json,OK,-,2
data/canonical/jenny-huda/01-Intelligence-GamePlan/2023-06-21_W001_P1-FOUNDATION_TRANS-INTEL_HudaJennyGamePlanGmt20230728.json,OK,-,2
data/canonical/jenny-huda/01-Intelligence-GamePlan/02-Huda-GamePlan-Creation.json,OK,-,2
data/canonical/jenny-huda/01-Intelligence-GamePlan/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_GamePlanToOutcomes.json,OK,-,2
data/canonical/jenny-huda/01-Intelligence-GamePlan/03-GamePlan-Architecture.json,OK,-,2
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2024-01-01_W025-075_P2P4-BUILDING-SUMMER_EXEC-INTEL_ActualTactics.json,OK,-,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2024-07-25_W057-093_P3P5-JUNIOR-SENIOR_EXEC-INTEL_Part2ApplicationMastery.json,OK,-,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-10-01_W014-080_P2P4-BUILDING-SUMMER_EXEC-INTEL_ECValidationProof.json,OK,-,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-09-01_W010-093_P1P5-FOUNDATION-SENIOR_EXEC-INTEL_SynthoriaDNAEmbedding.json,OK,-,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-08-02_W007-050_P1P3-FOUNDATION-JUNIOR_EXEC-INTEL_TacticalSolutions.json,OK,-,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_QualitativeTransformation.json,OK,-,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_FirstPrinciplesFrameworks.json,OK,-,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_OutcomeCorrelationMap.json,OK,-,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_GamePlanToOutcomes.json,OK,-,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-08-02_W001-064_P1P3-FOUNDATION-JUNIOR_EXEC-INTEL_Part1FrameworksTools.json,OK,-,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_AssessmentToAcceptance.json,OK,-,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-09-01_W010-070_P1P4-FOUNDATION-SUMMER_EXEC-INTEL_NarrativeArchitecture.json,OK,-,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_OutcomeDriven15Frameworks.json,OK,-,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-03-02_W036_P2-BUILDING_TRANS-INTEL_TeacherRecommendationCrisisandschoolRela.json,OK,-,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-11-29_W089_P5-SENIOR_TRANS-INTEL_MitFinalPolishandupennDmdStrategy.json,OK,-,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-12-05_W092_P5-SENIOR_TRANS-INTEL_JcampThankYouTransformationanddmdGraphic.json,OK,-,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-06-14_W051_P3-JUNIOR_TRANS-INTEL_RecommendationLetterStrategyandescapeRoo.json,OK,-,1
