file,status,text_source,text_len,chunks
data/canonical/jenny-huda/01-Intelligence-GamePlan/02-Assessment-to-GamePlan-Translation.json,OK,text,11566,2
data/canonical/jenny-huda/01-Intelligence-GamePlan/2023-06-21_W001_P1-FOUNDATION_TRANS-INTEL_HudaJennyGamePlanGmt20230728.json,OK,text,16071,2
data/canonical/jenny-huda/01-Intelligence-GamePlan/02-Huda-GamePlan-Creation.json,OK,text,11558,2
data/canonical/jenny-huda/01-Intelligence-GamePlan/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_GamePlanToOutcomes.json,OK,text,10702,2
data/canonical/jenny-huda/01-Intelligence-GamePlan/03-GamePlan-Architecture.json,OK,text,8078,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2024-01-01_W025-075_P2P4-BUILDING-SUMMER_EXEC-INTEL_ActualTactics.json,OK,text,5208,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2024-07-25_W057-093_P3P5-JUNIOR-SENIOR_EXEC-INTEL_Part2ApplicationMastery.json,OK,text,7531,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-10-01_W014-080_P2P4-BUILDING-SUMMER_EXEC-INTEL_ECValidationProof.json,OK,text,5847,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-09-01_W010-093_P1P5-FOUNDATION-SENIOR_EXEC-INTEL_SynthoriaDNAEmbedding.json,OK,text,8259,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-08-02_W007-050_P1P3-FOUNDATION-JUNIOR_EXEC-INTEL_TacticalSolutions.json,OK,text,5516,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_QualitativeTransformation.json,OK,text,9997,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_FirstPrinciplesFrameworks.json,OK,text,8626,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_OutcomeCorrelationMap.json,OK,text,5978,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_GamePlanToOutcomes.json,OK,text,7917,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-08-02_W001-064_P1P3-FOUNDATION-JUNIOR_EXEC-INTEL_Part1FrameworksTools.json,OK,text,8633,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_AssessmentToAcceptance.json,OK,text,8910,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-09-01_W010-070_P1P4-FOUNDATION-SUMMER_EXEC-INTEL_NarrativeArchitecture.json,OK,text,7111,1
data/canonical/jenny-huda/02-Intelligence-ExecutionDocs/2023-06-21_W001-093_P1P5-COMPLETE_EXEC-INTEL_OutcomeDriven15Frameworks.json,OK,text,8626,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-03-02_W036_P2-BUILDING_TRANS-INTEL_TeacherRecommendationCrisisandschoolRela.json,OK,text,17469,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-11-29_W089_P5-SENIOR_TRANS-INTEL_MitFinalPolishandupennDmdStrategy.json,OK,text,20055,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-12-05_W092_P5-SENIOR_TRANS-INTEL_JcampThankYouTransformationanddmdGraphic.json,OK,text,18397,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-06-14_W051_P3-JUNIOR_TRANS-INTEL_RecommendationLetterStrategyandescapeRoo.json,OK,text,17836,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2023-08-08_W008_P1-FOUNDATION_TRANS-INTEL_SummerProgramStrategyandncwitAppStorytel.json,OK,text,18391,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-10-15_W077_P4-SUMMER_TRANS-INTEL_UscSupplementalShortanswersMastery.json,OK,text,10498,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-02-21_W034_P2-BUILDING_TRANS-INTEL_CmuEssaysFinalizationandnationalLeadersh.json,OK,text,15015,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-03-20_W039_P2-BUILDING_TRANS-INTEL_PostKwkCelebrationandcommonappPlanning.json,OK,text,15525,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-10-17_W078_P4-SUMMER_TRANS-INTEL_UscEssayDifferentiationandnarrativeDevel.json,OK,text,15302,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-06-06_W048_P3-JUNIOR_TRANS-INTEL_ScalingImpactThroughMarketingandteamMana.json,OK,text,18283,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2025-01-01_W093_P5-SENIOR_TRANS-INTEL_AppSprintnwDukeFinalEdits.json,OK,text,11928,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-01-13_W026_P2-BUILDING_TRANS-INTEL_PostNcwitCelebrationandseniorYearStrateg.json,OK,text,12847,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-11-11_W082_P5-SENIOR_TRANS-INTEL_CssProfileCompletionandfinancialAidStrat.json,OK,text,16885,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-09-09_W066_P4-SUMMER_TRANS-INTEL_PeachFuzzCommonappEssayandactivitiesList.json,OK,text,13849,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-10-07_W073_P4-SUMMER_TRANS-INTEL_CommonappPersonalstmtFinalization.json,OK,text,11718,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-01-16_W027_P2-BUILDING_TRANS-INTEL_NotreDameLeadershipSeminarAppandstrategi.json,OK,text,13303,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-07-31_W059_P3-JUNIOR_TRANS-INTEL_CommonappEssayRevolutionfromGamingGuilt.json,OK,text,13392,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-10-09_W074_P4-SUMMER_TRANS-INTEL_CommonappPersonalstmtanduncEssaysRefinem.json,OK,text,11487,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-11-20_W084_P5-SENIOR_TRANS-INTEL_UcessaysglitterPensMetaphorandeducationa.json,OK,text,16011,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2023-09-06_W011_P1-FOUNDATION_TRANS-INTEL_NcwitAppDevelopmentandmotherInspiringJou.json,OK,text,13931,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-06-02_W047_P3-JUNIOR_TRANS-INTEL_CollegeAppFormalKickoffandmajorSelection.json,OK,text,20179,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-07-27_W058_P3-JUNIOR_TRANS-INTEL_SeniorYearStrategyandcommonappEssayPivot.json,OK,text,14219,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-10-12_W075_P4-SUMMER_TRANS-INTEL_CommonappEssayFinalizationParentandaiFee.json,OK,text,12713,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2023-12-10_W021_P2-BUILDING_TRANS-INTEL_BankAmericaEssayRefinementandfinalsWeek.json,OK,text,13531,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-10-22_W079_P5-SENIOR_TRANS-INTEL_StanfordReaFinalReviewanduscEssay.json,OK,text,15267,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2024-08-21_W062_P3-JUNIOR_TRANS-INTEL_PostJcampIdentityCrystallizationandneura.json,OK,text,15147,1
data/canonical/jenny-huda/03-Intelligence-SessionTranscripts/2023-09-23_W010_P1-FOUNDATION_TRANS-INTEL_MsaCrisisNcwitEssayBreakthroughandmit.json,OK,text,13568,1
